ABA	200000000000	1806,,,,,,,,
ABX	000000020000	,,,,,,,1AE5,
ABY	000000020000	,,,,,,,19ED,
ADCA	023200023442	,99,B9,89,,,,A9,
ADCB	023200023442	,D9,F9,C9,,,,E9,
ADDA	023200023442	,9B,BB,8B,,,,AB,
ADDB	023200023442	,DB,FB,CB,,,,EB,
ADDD	023030023442	,D3,F3,,C3,,,E3,
ANDA	023200023442	,94,B4,84,,,,A4,
ANDB	023200023442	,D4,F4,C4,,,,E4,
ANDCC	000200000000	,,,10,,,,,
ASL	003000023442	,,78,,,,,68,
ASLA	100000000000	48,,,,,,,,
ASLB	100000000000	58,,,,,,,,
ASLD	100000000000	59,,,,,,,,
ASR	003000023442	,,77,,,,,67,
ASRA	100000000000	47,,,,,,,,
ASRB	100000000000	57,,,,,,,,
BCC	000002000000	,,,,,24,,,
BCLR	034000034500	,4D,1D,,,,,0D,
BCS	000002000000	,,,,,25,,,
BEQ	000002000000	,,,,,27,,,
BGE	000002000000	,,,,,2C,,,
BGND	100000000000	00,,,,,,,,
BGT	000002000000	,,,,,2E,,,
BHI	000002000000	,,,,,22,,,
BHS	000002000000	,,,,,24,,,
BITA	023200023442	,95,B5,85,,,,A5,
BITB	023200023442	,D5,F5,C5,,,,E5,
BLE	000002000000	,,,,,2F,,,
BLO	000002000000	,,,,,25,,,
BLS	000002000000	,,,,,23,,,
BLT	000002000000	,,,,,2D,,,
BMI	000002000000	,,,,,2B,,,
BNE	000002000000	,,,,,26,,,
BPL	000002000000	,,,,,2A,,,
BRA	000002000000	,,,,,20,,,
BRCLR	045000045600	,4F,1F,,,,,0F,
BRN	000002000000	,,,,,21,,,
BRSET	045000045600	,4E,1E,,,,,0E,
BSET	034000034500	,4C,1C,,,,,0C,
BSR	000002000000	,,,,,07,,,
BVC	000002000000	,,,,,28,,,
BVS	000002000000	,,,,,29,,,
CALL	004000034542	,,4A,,,,,4B,
CBA	200000000000	1817,,,,,,,,
CLC	200000000000	10FE,,,,,,,,
CLI	200000000000	10EF,,,,,,,,
CLR	003000023442	,,79,,,,,69,
CLRA	100000000000	87,,,,,,,,
CLRB	100000000000	C7,,,,,,,,
CLV	200000000000	10FD,,,,,,,,
CMPA	023200023442	,91,B1,81,,,,A1,
CMPB	023200023442	,D1,F1,C1,,,,E1,
COM	003000023442	,,17,,,,,61,
COMA	100000000000	41,,,,,,,,
COMB	100000000000	51,,,,,,,,
CPD	023030023442	,9C,BC,,8C,,,AC,
CPS	023030023442	,9F,BF,,8F,,,AF,
CPX	023030023442	,9E,BE,,8E,,,AE,
CPY	023030023442	,9D,BD,,8D,,,AD,
DAA	200000000000	1807,,,,,,,,
DBEQ	omitido-rel9	,,,,,,,,
DBNE	omitido-rel9	,,,,,,,,
DEC	003000023442	,,73,,,,,63,
DECA	100000000000	43,,,,,,,,
DECB	100000000000	53,,,,,,,,
DES	200000000000	1B9F,,,,,,,,
DEX	100000000000	09,,,,,,,,
DEY	100000000000	03,,,,,,,,
EDIV	100000000000	11,,,,,,,,
EDIVS	200000000000	1814,,,,,,,,
EMACS	400000000000	1812,,,,,,,,
EMAXD	000000034553	,,,,,,,181A,
EMAXM	000000034553	,,,,,,,181E,
EMIND	000000034553	,,,,,,,181B,
EMINM	000000034553	,,,,,,,181F,
EMUL	100000000000	13,,,,,,,,
EMULS	200000000000	1813,,,,,,,,
EORA	023200023442	,98,B8,88,,,,A8,
EORB	023200023442	,D8,F8,C8,,,,E8,
ETBL	000000030000	,,,,,,,183F,
EXG	020000000000	,B7,,,,,,,
FDIV	200000000000	1811,,,,,,,,
IBEQ	omitido-rel9	,,,,,,,,
IBNE	omitido-rel9	,,,,,,,,
IDIV	200000000000	1810,,,,,,,,
IDIVS	200000000000	1815,,,,,,,,
INC	003000023442	,,72,,,,,62,
INCA	100000000000	42,,,,,,,,
INCB	100000000000	52,,,,,,,,
INS	200000000000	1B81,,,,,,,,
INX	100000000000	08,,,,,,,,
INY	100000000000	02,,,,,,,,
JMP	003000023442	,,06,,,,,05,
JSR	023000023442	,17,16,,,,,15,
LBCC	000000400000	,,,,,,1824,,
LBCS	000000400000	,,,,,,1825,,
LBEQ	000000400000	,,,,,,1827,,
LBGE	000000400000	,,,,,,182C,,
LBGT	000000400000	,,,,,,182E,,
LBHI	000000400000	,,,,,,1822,,
LBHS	000000400000	,,,,,,1824,,
LBLE	000000400000	,,,,,,182F,,
LBLO	000000400000	,,,,,,1825,,
LBLS	000000400000	,,,,,,1823,,
LBLT	000000400000	,,,,,,182D,,
LBMI	000000400000	,,,,,,182B,,
LBNE	000000400000	,,,,,,1826,,
LBPL	000000400000	,,,,,,182A,,
LBRA	000000400000	,,,,,,1820,,
LBRN	000000400000	,,,,,,1821,,
LBVC	000000400000	,,,,,,1828,,
LBVS	000000400000	,,,,,,1829,,
LDAA	023200023442	,96,B6,86,,,,A6,
LDAB	023200023442	,D6,F6,C6,,,,E6,
LDD	023030023442	,DC,FC,,CC,,,EC,
LDS	023030023442	,DF,FF,,CF,,,EF,
LDX	023030023442	,DE,FE,,CE,,,EE,
LDY	023030023442	,DD,FD,,CD,,,ED,
LEAS	000000023400	,,,,,,,1B,
LEAX	000000023400	,,,,,,,1A,
LEAY	000000023400	,,,,,,,19,
LSL	003000023442	,,78,,,,,68,
LSLA	100000000000	48,,,,,,,,
LSLB	100000000000	58,,,,,,,,
LSLD	100000000000	59,,,,,,,,
LSR	003000023442	,,74,,,,,64,
LSRA	100000000000	44,,,,,,,,
LSRB	100000000000	54,,,,,,,,
LSRD	100000000000	49,,,,,,,,
MAXA	000000034553	,,,,,,,1818,
MAXM	000000034553	,,,,,,,181C,
MEM	100000000000	01,,,,,,,,
MINA	000000034553	,,,,,,,1819,
MINM	000000034553	,,,,,,,181D,
MOVB	omitido-mult	,,,,,,,,
MOVW	omitido-mult	,,,,,,,,
MUL	100000000000	12,,,,,,,,
NEG	003000023442	,,70,,,,,60,
NEGA	100000000000	40,,,,,,,,
NEGB	100000000000	50,,,,,,,,
NOP	100000000000	A7,,,,,,,,
ORAA	023200023442	,9A,BA,8A,,,,AA,
ORAB	023200023442	,DA,FA,CA,,,,EA,
ORCC	000200000000	,,,14,,,,,
PSHA	100000000000	36,,,,,,,,
PSHB	100000000000	37,,,,,,,,
PSHC	100000000000	39,,,,,,,,
PSHD	100000000000	3B,,,,,,,,
PSHX	100000000000	34,,,,,,,,
PSHY	100000000000	35,,,,,,,,
PULA	100000000000	32,,,,,,,,
PULB	100000000000	33,,,,,,,,
PULC	100000000000	38,,,,,,,,
PULD	100000000000	3A,,,,,,,,
PULX	100000000000	30,,,,,,,,
PULY	100000000000	31,,,,,,,,
REV	200000000000	183A,,,,,,,,
REVW	200000000000	183B,,,,,,,,
ROL	003000023442	,,75,,,,,65,
ROLA	100000000000	45,,,,,,,,
ROLB	100000000000	55,,,,,,,,
ROR	001000011111	,,76,,,,,66,
RORA	100000000000	46,,,,,,,,
RORB	100000000000	56,,,,,,,,
RTC	100000000000	0A,,,,,,,,
RTI	100000000000	0B,,,,,,,,
RTS	100000000000	3D,,,,,,,,
SBA	200000000000	1816,,,,,,,,
SBCA	023200023442	,92,B2,82,,,,A2,
SBCB	023200023442	,D2,F2,C2,,,,E2,
SEC	200000000000	1401,,,,,,,,
SEI	200000000000	1410,,,,,,,,
SEV	200000000000	1402,,,,,,,,
SEX	020000000000	,B7,,,,,,,
STAA	023000023442	,5A,7A,,,,,6A,
STAB	023000023442	,5B,7B,,,,,6B,
STD	023000023442	,5C,7C,,,,,6C,
STOP	200000000000	183E,,,,,,,,
STS	023000023442	,5F,7F,,,,,6F,
STX	023000023442	,5E,7E,,,,,6E,
STY	023000023442	,5D,7D,,,,,6D,
SUBA	023200023442	,90,B0,80,,,,A0,
SUBB	023200023442	,D0,F0,C0,,,,E0,
SUBD	023030023442	,93,B3,,83,,,A3,
SWI	100000000000	3F,,,,,,,,
TAB	200000000000	180E,,,,,,,,
TAP	200000000000	B702,,,,,,,,
TBA	200000000000	180F,,,,,,,,
TBEQ	omitido-rel9	,,,,,,,,
TBL	000000030000	,,,,,,,183D,
TBNE	omitido-rel9	,,,,,,,,
TFR	020000000000	,B7,,,,,,,
TPA	200000000000	B720,,,,,,,,
TRAP	020000000000	,18,,,,,,,
TST	003000023442	,,F7,,,,,E7,
TSTA	100000000000	97,,,,,,,,
TSTB	100000000000	D7,,,,,,,,
TSX	200000000000	B775,,,,,,,,
TSY	200000000000	B776,,,,,,,,
TXS	200000000000	B757,,,,,,,,
TYS	200000000000	B767,,,,,,,,
WAI	100000000000	3E,,,,,,,,
WAV	200000000000	183C,,,,,,,,
WAVR	100000000000	3C,,,,,,,,
XGDX	200000000000	B7C5,,,,,,,,
XGDY	200000000000	B7C6,,,,,,,,
